[2019-02-18 14:02:04] main.ERROR: Error: Application is not installed yet.  [] []
[2019-02-18 14:08:53] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"}} []
[2019-02-18 14:08:53] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2019-02-18 14:08:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2019-02-18 14:08:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2019-02-18 14:08:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
[2019-02-18 14:08:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"}} []
[2019-02-18 14:08:55] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["COMPILED_CONFIG"],"mode":"matchingTag"}} []
[2019-02-18 14:08:55] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"}} []
[2019-02-18 14:08:55] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"}} []
[2019-02-18 14:08:55] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"}} []
[2019-02-18 14:08:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2019-02-18 14:09:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
[2019-02-18 14:09:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"}} []
[2019-02-18 14:09:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["VERTEX"],"mode":"matchingTag"}} []
[2019-02-18 14:09:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingTag"}} []
[2019-02-18 14:09:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:26] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:27] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
